"row ID","Prediction (DecTree)"
"Angola","Non membre non candidat"
"Bangladesh","Non membre non candidat"
"Benin","Non membre non candidat"
"Bhutan","Non membre non candidat"
"Burkina Faso","Non membre non candidat"
"Burundi","Non membre non candidat"
"Cambodia","Non membre non candidat"
"Cameroon","Non membre non candidat"
"Canada","Non membre non candidat"
"Cape Verde","Non membre non candidat"
"Central African Republic","Non membre non candidat"
"Chad","Non membre non candidat"
"Comoros","Non membre non candidat"
"Congo, Dem. Rep.","Non membre non candidat"
"Eritrea","Non membre non candidat"
"Ethiopia","Non membre non candidat"
"Guinea","Non membre non candidat"
"Guinea-Bissau","Non membre non candidat"
"Haiti","Non membre non candidat"
"India","Non membre non candidat"
"Japan","Non membre non candidat"
"Kenya","Non membre non candidat"
"Kiribati","Non membre non candidat"
"Korea, Rep.","Non membre non candidat"
"Lao PDR","Non membre non candidat"
"Lesotho","Non membre non candidat"
"Liberia","Non membre non candidat"
"Madagascar","Non membre non candidat"
"Malawi","Non membre non candidat"
"Mali","Non membre non candidat"
"Marshall Islands","Non membre non candidat"
"Micronesia, Fed. Sts.","Non membre non candidat"
"Mozambique","Non membre non candidat"
"Nepal","Non membre non candidat"
"Niger","Non membre non candidat"
"Nigeria","Non membre non candidat"
"Papua New Guinea","Non membre non candidat"
"Rwanda","Non membre non candidat"
"Sao Tome and Principe","Non membre non candidat"
"Senegal","Non membre non candidat"
"Sierra Leone","Non membre non candidat"
"Solomon Islands","Non membre non candidat"
"Sudan","Non membre non candidat"
"Tanzania","Non membre non candidat"
"Togo","Non membre non candidat"
"Turkmenistan","Non membre non candidat"
"Uganda","Non membre non candidat"
"United States","Non membre non candidat"
"Uzbekistan","Non membre non candidat"
"Vanuatu","Non membre non candidat"
"Zambia","Non membre non candidat"
"Antigua and Barbuda","Membre"
"Argentina","Membre"
"Australia","Membre"
"Bahamas, The","Membre"
"Brazil","Membre"
"Chile","Membre"
"China","Membre"
"Colombia","Membre"
"Costa Rica","Membre"
"Dominican Republic","Membre"
"Hong Kong, China","Membre"
"Iran, Islamic Rep.","Membre"
"Israel","Membre"
"Jamaica","Membre"
"Jordan","Membre"
"Kuwait","Membre"
"Lebanon","Membre"
"Macao, China","Membre"
"Malaysia","Membre"
"Maldives","Membre"
"Mauritius","Membre"
"Mexico","Membre"
"Morocco","Membre"
"New Zealand","Membre"
"Panama","Membre"
"Peru","Membre"
"Russian Federation","Membre"
"San Marino","Membre"
"Saudi Arabia","Membre"
"Seychelles","Membre"
"Singapore","Membre"
"St. Vincent and the Grenadines","Membre"
"Syrian Arab Republic","Membre"
"Thailand","Membre"
"Trinidad and Tobago","Membre"
"Tunisia","Membre"
"Uruguay","Membre"
"Venezuela, RB","Membre"
"Vietnam","Membre"
"Algeria","Candidat"
"Azerbaijan","Candidat"
"Belize","Candidat"
"Bolivia","Candidat"
"Botswana","Candidat"
"Congo, Rep.","Candidat"
"Cote d'Ivoire","Candidat"
"Ecuador","Candidat"
"Egypt, Arab Rep.","Candidat"
"El Salvador","Candidat"
"Equatorial Guinea","Candidat"
"Fiji","Candidat"
"Gabon","Candidat"
"Gambia, The","Candidat"
"Georgia","Candidat"
"Ghana","Candidat"
"Honduras","Candidat"
"Indonesia","Candidat"
"Kazakhstan","Candidat"
"Kyrgyz Republic","Candidat"
"Libya","Candidat"
"Mauritania","Candidat"
"Mongolia","Candidat"
"Namibia","Candidat"
"Pakistan","Candidat"
"Paraguay","Candidat"
"Philippines","Candidat"
"Samoa","Candidat"
"South Africa","Candidat"
"Sri Lanka","Candidat"
"Swaziland","Candidat"
"Tajikistan","Candidat"
"Tonga","Candidat"
