"row ID","Prediction (DecTree)"
"Antigua and Barbuda","Membre"
"Argentina","Membre"
"Australia","Membre"
"Bahamas, The","Membre"
"Brazil","Membre"
"Chile","Membre"
"China","Membre"
"Colombia","Membre"
"Costa Rica","Membre"
"Dominican Republic","Membre"
"Hong Kong, China","Membre"
"Iran, Islamic Rep.","Membre"
"Israel","Membre"
"Jamaica","Membre"
"Jordan","Membre"
"Kuwait","Membre"
"Lebanon","Membre"
"Macao, China","Membre"
"Malaysia","Membre"
"Maldives","Membre"
"Mauritius","Membre"
"Mexico","Membre"
"Morocco","Membre"
"New Zealand","Membre"
"Panama","Membre"
"Peru","Membre"
"Russian Federation","Membre"
"San Marino","Membre"
"Saudi Arabia","Membre"
"Seychelles","Membre"
"Singapore","Membre"
"St. Vincent and the Grenadines","Membre"
"Syrian Arab Republic","Membre"
"Thailand","Membre"
"Trinidad and Tobago","Membre"
"Tunisia","Membre"
"Uruguay","Membre"
"Venezuela, RB","Membre"
"Vietnam","Membre"
