"Country Name","GDP/population","Country Code","Adolescent fertility rate (births per 1,000 women ages 15-19)","Agriculture, value added (% of GDP)","Births attended by skilled health staff (% of total)","Cash surplus/deficit (% of GDP)","Contraceptive prevalence (% of women ages 15-49)","Exports of goods and services (% of GDP)","External debt stocks, total (DOD, current US$)","Fertility rate, total (births per woman)","Foreign direct investment, net inflows (BoP, current US$)","GDP (current US$)","GDP growth (annual %)","GNI per capita, Atlas method (current US$)","GNI per capita, PPP (current international $)","GNI, Atlas method (current US$)","GNI, PPP (current international $)","Gross capital formation (% of GDP)","High-technology exports (% of manufactured exports)","Immunization, measles (% of children ages 12-23 months)","Imports of goods and services (% of GDP)","Income share held by lowest 20%","Industry, value added (% of GDP)","Inflation, GDP deflator (annual %)","Internet users (per 100 people)","Life expectancy at birth, total (years)","Malnutrition prevalence, weight for age (% of children under 5)","Market capitalization of listed companies (% of GDP)","Merchandise trade (% of GDP)","Military expenditure (% of GDP)","Mobile cellular subscriptions (per 100 people)","Mortality rate, under-5 (per 1,000)","Net barter terms of trade (2000 = 100)","Official development assistance and official aid (current US$)","Population growth (annual %)","Population, total","Prevalence of HIV, total (% of population ages 15-49)","Primary completion rate, total (% of relevant age group)","Ratio of girls to boys in primary and secondary education (%)","Renewable internal freshwater resources per capita (cubic meters)","Revenue, excluding grants (% of GDP)","Roads, paved (% of total roads)","Services, etc., value added (% of GDP)","Surface area (sq. km)","Time required to start a business (days)","Total debt service (% of exports of goods, services and income)","Workers' remittances and compensation of employees, received (current US$)"
"Afghanistan",0,"AFG","121,262","37,4741116087",,"-1,6790963042",,"17,2869746229","2,04E+009","6,634","2,88E+008","1,02E+010","16,177652941",,,"9,80E+009","3,06E+010","30,5824848924",,70,"56,5929055537",,"24,9407173281","6,7574630977",,"43,8307317073",,,"32,6071519","2,1058879874",,257,,"3,95E+009",,,,,"57,7365184223",,"6,7290221277",,"37,5851710632",652090,9,,
"Albania","3457,7398115823","ALB","14,16","21,4296517303",,,,"27,8462082101","2,78E+009","1,873","4,77E+008","1,08E+010",6,3360,7350,"1,05E+010","2,30E+010","29,9429410955",,97,"54,3179570556",,"19,9556814014","3,1598111878",,"76,4982926829",,,"48,6371590382","1,7984076758","73,4247673871","15,181",,"3,05E+008","0,3423937531",3132458,,,,"8587,5054031052",,,"58,6146668683",28750,36,"4,1490857893","1,47E+009"
"Algeria","3967,3113671714","DZA","7,339","8,1779250997",,"6,1778491758",,"47,1298698258","5,54E+009","2,383","1,66E+009","1,34E+011",3,3610,7650,"1,22E+011","2,59E+011","33,6904419815",,92,"23,5531153064",,"61,0919805829","6,7921001249","10,3389169032","72,2502439024",,,"65,3696774048","2,9379875782","81,4196204876",37,"183,799076173","3,90E+008","1,4926174394","3,39E+007","0,1","95,138053543",,"332,233709744","40,3774472932",,"30,7300987725",2381740,24,,"2,12E+009"
"American Samoa",0,"ASM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,6730156341","65029,3607635464",,,,,,,,200,,,
"Andorra",0,"ADO",,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,"2,7",,,"2,8311345059",82180,,,"102,6617355656",,,,,470,,,
"Angola","3375,9511475276","AGO","123,683","9,6978681538","47,3",,,"73,9232069174","1,27E+010","5,785","-8,93E+008","5,93E+010","20,2795799202",2590,4400,"4,55E+010","7,72E+010","14,3652729786",,88,"40,3977518775",,"72,3986797974","4,1250837516","2,8368656963","46,8014634146",,,"97,9646443841","3,7837","28,263476465",158,"204,0598740576","2,41E+008","2,6873692302","1,76E+007","2,1",,,"8430,8458445472",,,"17,9034520488",1246700,119,"10,2432488262",
"Antigua and Barbuda","13615,6629165354","ATG",,,,,,,,,"3,91E+008","1,15E+009","8,5322959642",12610,19350,"1,07E+009","1,64E+009",,"0,0565124784",99,,,,"8,4747014753","70,7434213434",,,,"69,6228932673",,"132,5036072332","10,8",,4190000,"0,8484306033","84813,5400587651",,"97,2921914358","95,0220572875","613,1096516425",,,,440,21,,"2,35E+007"
"Argentina","6643,7412418242","ARG","56,9","9,394874713",,,,"24,6265468942","1,28E+011","2,254","6,46E+009","2,62E+011","8,6533368464",6040,12970,"2,39E+011","5,12E+011","24,2009503505","6,6236865266",99,"20,3371259843",,"33,7362018118","14,1649276632","25,9380936033","75,2185365854",,"33,0287420834","38,2874037656","0,7498253798","102,2739927458","16,3","116,1660777385","8,20E+007","0,9389172466","3,95E+007","0,5",,,"6986,7287003743",,,"56,8689234752",2780400,31,"12,9990555503","6,07E+008"
"Armenia","2995,8088594798","ARM","35,706","20,2820602192",,"-0,5669948204",,"19,1894053167","2,89E+009","1,735","6,99E+008","9,20E+009","13,7",2580,5740,"7,91E+009","1,76E+010","37,789973983","2,0276024291",92,"39,1584900031",,"43,9088082786","4,2574357371",,"73,3953658537",,"1,1407497289","48,0212178738","3,0425582439","61,0721411252","24,3",,"3,52E+008","0,1294593422",3072450,"0,1","97,5367682399","104,4222170476","2952,3670035314","20,960296856",,"35,8091315022",29800,18,"7,0467248204","8,46E+008"
"Aruba",0,"ABW","33,439",,,,,,,"1,738","-1,16E+008",,,,,,,,"0,0931719284",,,,,,"23,037935801","74,6404878049",,,,,"139,9832974965",,"192,4811110291",,"1,4289133946",104176,,"98,6147757256","100,6735735109",,,,,180,,,"1,26E+007"
