"Country Name","Country Code","Adolescent fertility rate (births per 1,000 women ages 15-19)","Agriculture, value added (% of GDP)","Births attended by skilled health staff (% of total)","Cash surplus/deficit (% of GDP)","Contraceptive prevalence (% of women ages 15-49)","Exports of goods and services (% of GDP)","External debt stocks, total (DOD, current US$)","Fertility rate, total (births per woman)","Foreign direct investment, net inflows (BoP, current US$)","GDP (current US$)","GDP growth (annual %)","GNI per capita, Atlas method (current US$)","GNI per capita, PPP (current international $)","GNI, Atlas method (current US$)","GNI, PPP (current international $)","Gross capital formation (% of GDP)","High-technology exports (% of manufactured exports)","Immunization, measles (% of children ages 12-23 months)","Imports of goods and services (% of GDP)","Income share held by lowest 20%","Industry, value added (% of GDP)","Inflation, GDP deflator (annual %)","Internet users (per 100 people)","Life expectancy at birth, total (years)","Malnutrition prevalence, weight for age (% of children under 5)","Market capitalization of listed companies (% of GDP)","Merchandise trade (% of GDP)","Military expenditure (% of GDP)","Mobile cellular subscriptions (per 100 people)","Mortality rate, under-5 (per 1,000)","Net barter terms of trade (2000 = 100)","Official development assistance and official aid (current US$)","Population growth (annual %)","Population, total","Prevalence of HIV, total (% of population ages 15-49)","Primary completion rate, total (% of relevant age group)","Ratio of girls to boys in primary and secondary education (%)","Renewable internal freshwater resources per capita (cubic meters)","Revenue, excluding grants (% of GDP)","Roads, paved (% of total roads)","Services, etc., value added (% of GDP)","Surface area (sq. km)","Time required to start a business (days)","Total debt service (% of exports of goods, services and income)","Workers' remittances and compensation of employees, received (current US$)"
"Albania","ALB",14.16,21.4296517302937,,,,27.8462082101059,2.775868E9,1.873,4.7668E8,1.08312247347093E10,6.0,3360.0,7350.0,1.0512791865795E10,2.30227842058679E10,29.9429410954903,,97.0,54.317957055649,,19.9556814014389,3.1598111878404,,76.4982926829268,,,48.6371590381502,1.79840767581913,73.4247673871445,15.181,,3.0519E8,0.34239375307591,3132458.0,,,,8587.50540310517,,,58.6146668682674,28750.0,36.0,4.14908578928676,1.468E9
"Armenia","ARM",35.706,20.2820602192449,,-0.566994820446348,,19.1894053167467,2.888062E9,1.735,6.9881E8,9.2044729303087E9,13.7,2580.0,5740.0,7.91161866395498E9,1.76359883178137E10,37.7899739829511,2.02760242914245,92.0,39.1584900031159,,43.9088082785996,4.25743573711026,,73.3953658536585,,1.14074972890901,48.0212178738165,3.04255824394972,61.0721411251607,24.3,,3.5155E8,0.129459342205467,3072450.0,0.1,97.5367682399308,104.422217047594,2952.36700353138,20.9602968559956,,35.8091315021555,29800.0,18.0,7.04672482041183,8.45865E8
"Austria","AUT",12.779,1.94127332713244,,-0.855875597289464,,58.8590648085428,,1.38,3.07168498614728E10,3.73192406657177E11,3.35482478713357,41970.0,36750.0,3.48968487465682E11,3.05585475953451E11,20.8429038399262,11.3045566954448,79.0,51.5702721208438,,31.1858293967154,2.29604922005144,67.3651515430296,80.0317073170732,,61.2840478316848,87.6359346937184,0.941066706079489,119.200132476661,4.4,,,0.397678512654407,8315427.0,0.2,102.231993018729,97.2331971123601,6614.2123549398,37.1034326196605,,66.8728972761521,83870.0,28.0,,2.96477E9
"Belarus","BLR",21.262,9.23227980464616,,0.431508710414109,,61.0446321886517,9.46986E9,1.287,1.7852E9,4.5275711995825E10,8.60000078498793,4240.0,10790.0,4.11799796062348E10,1.04654652636861E11,32.8240637346872,2.67753353933274,99.0,67.0933965108943,,41.7343425886207,12.8727082724944,28.9605236033807,70.2034146341464,,,116.990637286686,1.64976591437478,71.7377860235003,13.4,,8.326E7,-0.313875067944899,9702000.0,0.2,92.3970810678223,101.092557550263,3834.26097711812,38.251314527923,,49.0333776067331,207600.0,48.0,3.87583322863758,3.542E8
"Belgium","BEL",7.722,0.872525635537072,,,,89.4102176541717,,1.81,7.21947729373998E10,4.52753750136866E11,2.79911428026702,41120.0,35320.0,4.36888983805468E11,3.75270057161876E11,22.3440145102781,7.48332012407263,92.0,86.5120918984281,,24.0736210493412,1.63306902809779,65.9384322915196,80.2207317073171,,85.3359281691657,186.824310074583,1.14056831922612,101.058010295792,4.6,101.150442477876,,0.734330830765897,1.06257E7,0.2,86.3791413130667,98.0565511258976,1129.33736130326,,,75.0538533151217,30530.0,4.0,,8.55668E9
"Bosnia and Herzegovina","BIH",15.928,,,1.04895773309922,,39.0773328388707,6.478541E9,1.214,2.11125E9,1.51441567529741E10,6.84,3780.0,8010.0,1.42967235821921E10,3.02502840796704E10,22.6841497227357,3.01970409976235,96.0,73.6505857139227,,,5.93266891458664,27.9217977932517,75.0007317073171,,,92.0354974354235,1.29846125410101,64.8533377796481,14.2,,4.4317E8,-0.0814296745823722,3778410.0,0.1,,99.3950855879975,9395.48646123634,40.2513086494309,,,51210.0,54.0,8.03600421532494,2.6999E9
"Bulgaria","BGR",42.228,6.24482874492831,,3.54631892126758,,63.3949847467662,3.2967941E10,1.42,8.97415E9,3.95492383679684E10,6.16726482496549,4460.0,10790.0,3.41275060758878E10,8.26528595684077E10,36.7971230905238,6.00527190174931,96.0,85.4876461208704,,32.295825186191,7.851605964838,30.9152736298403,72.6839024390244,,55.1034378898445,123.042020878491,2.60970408644982,129.213863508066,11.8,,,-0.511187415410182,7659764.0,,98.1712062256809,96.6445454110519,2741.59882732679,37.1500028538662,,61.4593460688806,111000.0,32.0,15.4595168177558,2.13247E9
"Croatia","HRV",14.126,6.06411839824527,99.9,-1.1137947708669,,42.7884873974192,4.8583564E10,1.4,4.91575E9,5.85582312537493E10,5.47141455062213,12000.0,17840.0,5.32398433062375E10,7.91296652415781E10,28.8912635148142,9.09150956690434,96.0,50.3506828886164,,28.216569530131,4.04480363217266,44.744320423302,75.6658536585366,,112.669096363418,65.2395524626676,1.6335529341276,113.494193619361,5.8,,1.6384E8,-0.0905364673893594,4435982.0,0.1,101.3573022863,102.192917316865,8498.68191530083,35.9314814002877,89.1349266478408,65.7193120716238,56540.0,22.0,32.9704591059005,1.393883E9
"Cyprus","CYP",6.08,,,0.763290610237165,,,,1.47,2.23949659248479E9,2.1276719104E10,4.36157321929932,22950.0,24040.0,1.9616999424E10,2.05487398298546E10,,30.6871410320547,87.0,,,,3.1210732460022,38.0000304209914,79.2926829268293,,138.548585510351,47.1246534345374,3.25391228352549,115.636272586124,4.5,,,1.06665921416493,854673.0,,99.9516300667505,100.612323777492,912.629742603311,64.6226979508162,,,9250.0,,,1.72106E8
"Czech Republic","CZE",10.552,2.39917656672324,,-1.67778533468886,,80.1729566384694,,1.44,9.29373530237069E9,1.73958164287709E11,5.95051096844756,14240.0,22160.0,1.47171412705684E11,2.29043489773998E11,27.0277252397777,14.128661850995,97.0,75.141186924775,,38.8798478848451,3.61785334158178,48.2990586559527,76.7141463414634,,42.2055959837394,138.658741696691,1.45536476322208,128.008768975901,3.9,,,0.631221550381242,1.033416E7,,93.218763150941,100.618203888492,1272.47884685354,31.2106879713017,,58.7209755484317,78870.0,17.0,,1.332446E9
"Denmark","DNK",6.008,1.33754572478485,,4.7559553959409,,52.1393813839803,,1.85,1.18576831408891E10,3.11579353416605E11,1.79956902575225,55450.0,36800.0,3.02815788191373E11,2.00956886758256E11,23.380740202731,16.6806222041345,89.0,50.9917240387257,,25.693916270362,1.50669097622456,80.7132663595192,78.2763414634146,,89.1414537061493,64.6534479550865,1.34008317229068,115.538013980933,4.4,98.895623184498,,0.443466054321374,5461438.0,0.2,100.673109149816,101.625016140352,1098.61175756275,40.3829987297184,,72.9685380048532,43090.0,6.0,,1.02774E9
"Estonia","EST",21.405,2.77369381339572,,3.17500310761904,,74.3861039832352,,1.64,2.68659970177161E9,2.09586754385965E10,6.33292120559715,12840.0,18830.0,1.72333549178005E10,2.52657301856895E10,37.8936997575429,11.8405073452303,96.0,85.2726480555513,,30.378003398757,9.58890350494548,63.6976846800112,72.909756097561,,28.8057802969838,127.368427543089,2.20107320629694,147.714866226619,5.6,,,-0.139653436441175,1341672.0,1.3,100.340975043529,100.733589513514,9474.74494511326,32.6826097638251,,66.8483027878473,45230.0,7.0,,4.26E8
"Finland","FIN",11.388,3.1889725917615,,5.5337073937536,,44.8134079962407,,1.83,1.15684451188547E10,2.44660845286324E11,4.39964094957379,44310.0,34760.0,2.34325170681095E11,1.83862224359337E11,22.2556626519504,21.4488259997751,98.0,40.145670987195,,32.2551690976118,2.5051841532599,78.8233636872438,79.259512195122,,150.889753220743,70.2397780727384,1.23238550226842,114.961654237698,3.5,,,0.425429832100609,5288720.0,0.1,97.9409684071103,102.225983886397,20231.7384924897,38.9026566494554,,64.5558583106267,338150.0,14.0,,7.7193E8
"France","FRA",6.885,2.20206944380121,,-2.29611283760556,,26.5242042308025,,1.96,1.5946274661588E11,2.58984109821526E12,2.17284161492333,38790.0,33850.0,2.46675766128967E12,2.0888215003284E12,22.1258491582602,18.8559533724866,87.0,28.4479544497888,,20.5696825922649,2.46414382302052,51.1626933133369,80.9658536585366,,107.003351755299,45.2669850496965,2.33971192366302,89.7111112321129,4.3,101.381283909151,,0.576144979932688,6.1707072E7,0.4,,99.94528970432,2892.69923551064,41.8398497231987,,77.2282479639339,551500.0,7.0,,1.374541E10
"Germany","DEU",7.732,0.91762127518509,,-0.350276425447644,,46.7043485436092,,1.39,5.15432992141293E10,3.31736559728457E12,2.48488513250418,38990.0,34740.0,3.20750124892296E12,2.85767990993272E12,18.3166927964353,14.2179777418477,94.0,39.6971697334764,,30.09180816973,1.84444403665063,72.2897820847449,79.6853658536586,,63.4692070938295,71.6845495008612,1.28269659212806,118.090361279489,4.4,97.1722919287235,,-0.13130570814061,8.2268357E7,0.1,103.170731405015,98.5573967158311,1300.62157434358,28.4602689990923,,68.9905705550849,357050.0,18.0,,9.83944E9
"Greece","GRC",8.889,3.58537099171715,,-3.70344972476367,,22.1818250114545,,1.38,1.95871455632603E9,3.13353635169167E11,4.00276621554529,25740.0,27830.0,2.88090719287698E11,3.11522287531605E11,25.6856667017546,8.16654591669978,88.0,35.3850010941316,,23.0726423178762,2.87526690584036,32.8630637111303,79.690243902439,,84.5504058276937,31.8688557661342,3.27409590008591,109.841061214294,4.1,93.3450087565672,,0.401990960561374,1.1193366E7,0.2,101.458358668301,97.0862806197988,5181.64062534898,38.9170150343723,,73.3419866904067,131960.0,38.0,,2.483721E9
"Hungary","HUN",20.172,3.96164141486912,,-4.92664565754185,,80.3638703494057,,1.32,3.72309511476652E10,1.38757191934686E11,1.2,11670.0,17470.0,1.17317882887795E11,1.75644405076483E11,22.5016832221946,25.2213415149418,99.0,78.7728402605948,,29.7282791529192,5.89692031658689,51.864857823063,73.0885365853659,,34.3413839207915,137.857240841282,1.28026929985217,109.687463329548,6.8,95.4520217326269,,-0.154915158060948,1.005578E7,0.1,92.2461321190284,99.2446472050143,596.671764895413,37.9836813300782,,66.3100794322117,93030.0,16.0,,2.53044E9
"Iceland","ISL",15.064,,,4.90181658344138,,35.3095414855046,,2.451,3.03793107287758E9,1.99628542004744E10,3.84471257316143,57750.0,34070.0,1.79607508260728E10,1.05960062857542E10,27.7137884196041,57.1229965427582,95.0,45.9553202122842,,,5.50900417014503,65.0395341434162,81.1907317073171,,203.152531431248,57.5423929095622,,105.351177021,2.5,,,2.34729269303605,310997.0,0.2,96.7783505154639,103.085564048315,546629.06716142,35.5498076136879,,,103000.0,5.0,,4.125E7
"Ireland","IRL",15.946,,,0.414110324914143,,,,1.9,2.60848331700655E10,2.59018237174393E11,6.0,47610.0,37700.0,2.07894990827507E11,1.64606287659704E11,,28.0705310460681,87.0,,,,2.1933387489846,56.1476325027318,79.3926829268293,,55.6046394922492,79.3022789749366,0.529989352926995,114.120562238087,4.2,91.3152344265309,,2.4440863153601,4366193.0,0.2,96.5665707847053,102.632945321049,11222.5913971279,33.3073156277528,,,70270.0,13.0,,5.7993E8
"Italy","ITA",4.895,2.03564806047148,,-1.75332410661419,,29.1943670124212,,1.34,4.00401057355438E10,2.10163746852075E12,1.45670507178623,33490.0,30190.0,1.98837517975656E12,1.79259776921353E12,21.4885456611887,6.69078193854547,87.0,29.5007737992436,,27.0299294360379,2.26436451256535,53.8950082460205,81.3129268292683,,51.0407489718463,47.4383215365746,1.79558935733635,151.244551109403,3.7,98.0226483528945,,0.732281692314131,5.9374701E7,0.4,101.86102657333,98.8155758615574,3073.69968903086,37.8628917871519,,70.9344225034906,301340.0,13.0,,3.164977E9
"Latvia","LVA",15.206,3.27628719948629,,0.808189324690965,,41.9292417404719,3.934241E10,1.42,2.2472E9,2.87658622031919E10,9.97759744100901,10090.0,16770.0,2.29710752870884E10,3.81661851085451E10,35.142998261152,7.41868588724734,97.0,61.0606296389015,,22.0486153459716,20.2951181197157,55.0228021615922,71.2170731707317,,10.8163974993065,82.2932931847712,1.69825235624057,97.4038047537454,8.6,,,-0.5191893956554,2276100.0,0.8,89.5430373194033,99.7903189727985,7354.68564650059,26.5752812941901,,74.6750974545421,64590.0,16.0,73.2635632278353,5.519E8
"Lithuania","LTU",21.891,4.4060315456,,-0.882322671891924,,54.3840503287694,,1.35,2.01703665555058E9,3.88937679579907E10,8.92464324971196,9910.0,17090.0,3.34368563488237E10,5.76898169690808E10,30.5179302354729,11.0557722330705,97.0,67.7992473917017,,32.7996860229,8.82322299306664,49.2078487553983,70.8846341463415,,26.0561538057871,107.024582434287,1.54475247787061,145.516376556826,8.2,,,-0.545490813022069,3375618.0,0.1,94.8224417922129,99.7191976358415,4609.52631488513,28.8432595907629,,62.7942824315,65300.0,26.0,,1.43264E9
"Luxembourg","LUX",12.284,0.390540114529867,,3.22060192166613,,172.500083016947,,1.61,1.88118995247916E11,4.94596518121099E10,4.45642593854707,79060.0,65050.0,3.79481314268172E10,3.12212892331277E10,19.112991598685,8.85122816876834,96.0,141.942928616495,,14.3847921965433,2.19143056769202,75.8165223242839,79.1756097560976,,335.833900794527,101.047070043795,0.741618055632423,142.606246341092,2.8,,,1.54438684650549,479993.0,0.2,84.0780688238315,102.039349884322,2083.36371572085,38.4011857898389,,85.2246676889268,2590.0,26.0,,1.56515E9
"Macedonia, FYR","MKD",21.686,11.9589361217222,,,,53.1623927281943,3.75987E9,1.426,3.19688469803584E8,7.92666429423792E9,5.86108612759266,3410.0,9050.0,6.94542868647287E9,1.84418919140047E10,22.4202907017602,0.826746320434476,96.0,72.2427826222427,,29.530139702906,7.65147274928279,27.29643355927,74.1319512195122,,34.2551027671729,108.29271533853,2.05237102194361,95.5663093512982,16.6,,2.1345E8,0.0321933529889004,2037031.68325141,0.1,93.7900812312954,98.2685208472491,2650.91605810509,,,58.5109241753719,25710.0,15.0,,3.4501E8
"Malta","MLT",11.466,,,-1.77455983401506,,87.7416305541992,,1.3,9.31641396266871E8,7.44854528E9,3.78999996185303,16680.0,22460.0,6.825206784E9,9.1918547828794E9,21.5610980987549,52.4716526706999,79.0,89.9335556030273,,,2.48625016212463,44.7124490159996,79.569512195122,,75.630137003074,105.439875502777,1.54323438039351,90.7948983008184,5.3,,,0.683912156240328,409197.0,0.1,,,123.412439485138,39.2184446958106,,,320.0,,,4.3351E7
"Moldova","MDA",33.81,11.9706748675236,,-0.336892092957288,,45.5877764768128,3.203032E9,1.5,4.9342E8,4.40249592129332E9,2.98786914937443,1130.0,2900.0,4.13763975213924E9,1.06231285092469E10,38.1212138124785,5.09666488800436,96.0,97.7400110511836,,14.817043275825,15.9204866456481,19.086732566792,68.3475609756098,,,114.298799816304,0.516567875867841,51.3386752553328,18.2,,2.6915E8,-1.12195378962179,3667469.0,0.4,92.9134699634561,101.683380980458,272.667608097028,34.2480758454901,,73.2122818566514,33840.0,23.0,9.46938569736079,1.4982E9
"Montenegro","MNE",14.724,9.27438204680571,,,,46.3264379818505,1.174024E9,1.636,8.7567304191679E8,3.84615384615385E9,10.7,5230.0,12560.0,3.245763249958E9,7.80058534739237E9,24.7729747580071,,90.0,84.9045017078292,,17.6654896129633,18.1251826789135,45.0928510116098,73.95,,96.174,94.692,1.41992882562278,,10.4,,1.0586E8,-0.0759847873810285,620941.0,,,,,,,73.060128340231,14026.0,24.0,,
"Netherlands","NLD",3.787,2.12314908951813,,0.338494147840089,,75.3019013934735,,1.71,1.23608690684379E11,7.65817639329903E11,3.48256421695336,45650.0,39470.0,7.47879713962902E11,6.46527041865457E11,19.7272030267882,25.7892785607257,96.0,67.3129748345507,,24.1611386811351,1.19450881229064,84.1932644846325,80.2324390243902,,124.895104434789,136.453208317893,1.49891785529822,117.726870851517,5.2,111.68581144246,,0.214109197877042,1.6381137E7,0.2,,97.8635973430955,671.504059821977,41.316481305079,,73.7157122293468,41530.0,10.0,,2.547824E9
"Norway","NOR",8.561,1.43724132057656,,18.0454040549782,,45.7983877945692,,1.9,3.78803655974764E9,3.88412405957316E11,3.65661514836464,77370.0,53650.0,3.64349962862676E11,2.52638312025289E11,23.0577527597368,17.6249519568345,92.0,30.1445433131423,,43.0382153589291,1.60582572383676,84.8004301410466,80.3960975609756,,92.0207257847675,55.7795527838544,1.51263397894461,110.244156433227,3.6,133.969346073886,,1.03473451527825,4709153.0,0.1,96.760289426593,99.316535484969,81118.6215440441,50.3088384048012,,55.5245433204944,323800.0,7.0,,6.12722E8
"Poland","POL",13.915,4.31716495941475,,-2.0007385562077,,40.6115721887641,1.95374298E11,1.31,2.2959E10,4.24789821809376E11,6.69999999999999,9870.0,15600.0,3.76271298872178E11,5.94809402208793E11,23.6465191709792,3.76225597571557,98.0,43.2992190704062,,31.1158222263366,3.90880909879827,43.9554586816143,75.1439024390244,,48.8057527171721,72.1673274454227,1.93726356416335,108.573368282103,6.8,109.371550518653,,-0.0543050208038707,3.812056E7,0.1,96.3514025777104,99.2538938090473,1406.06538833637,32.5076195516589,,64.5670128142486,312690.0,31.0,25.5587904944587,1.0496E10
"Portugal","PRT",16.489,2.65393328210214,,-2.57592802973283,,32.936830017431,,1.3,5.53410208623726E9,2.22758266725063E11,1.75104120037743,18960.0,21790.0,2.01089218068581E11,2.31144261422831E11,22.1796909608918,8.58302366370414,95.0,40.1009240206665,,24.4607487481987,2.98257834126963,40.0554186872869,78.2970731707317,,59.3728237090468,58.2917393455326,1.95998798201726,126.795873244953,3.8,,,0.22640847104148,1.0608335E7,0.5,,100.51929457773,3582.0889894597,39.3943637135567,,72.8853179696992,92120.0,7.0,,3.94134E9
"Romania","ROM",31.231,8.97024939935092,,-2.3571153941191,,31.3361502347418,8.5379642E10,1.29,9.492E9,1.65976294959603E11,6.0,6390.0,12350.0,1.37703010289157E11,2.66207000116857E11,29.6,3.6672198012704,97.0,43.7056832221399,,36.0789791975657,10.8250951611578,23.8786064223797,72.57,,27.0672748846059,66.9450474220091,1.57104027674821,94.7562089403878,14.9,,,-0.189143146569654,2.1546873E7,0.1,120.344458895899,99.2498873325713,1963.16189360749,25.8152341954534,,54.9507714030834,238390.0,14.0,19.0593579111586,8.539E9
"Serbia","SRB",22.102,12.9581844123548,,-0.941779155535539,,29.404694834655,2.6280405E10,1.4,3.10953933259E9,4.01218753207252E10,7.52639480724338,4540.0,9830.0,3.34923536459628E10,7.25608851569924E10,23.1050583436364,,95.0,51.4604705222608,,28.4360157937786,6.80000000000032,20.320855470083,73.3829268292683,,59.6523229041711,68.2385850141392,2.42178118383236,114.509944281569,7.7,,8.3355E8,-0.405458541825536,7381579.0,0.1,,101.886339890309,,38.9220602104457,,58.6057997938665,88361.0,23.0,,5.5772E9
"Slovak Republic","SVK",20.704,3.54794523834084,,-1.83254254010593,,86.4727671538082,,1.25,3.36335111455666E9,7.49719176142111E10,10.423169946985,11720.0,19220.0,6.32779163373567E10,1.03733872080818E11,27.8375587832561,5.01528032064327,99.0,87.4981446808878,,40.4804518785586,1.1144713796094,42.8291792330932,74.1926829268293,,9.29854833895641,158.374428117193,1.51831220203575,112.427375967101,7.8,,,0.109540274600589,5397318.0,0.1,94.1599176845459,100.205502622315,2334.49279808972,29.0979883753126,,55.9716028831005,49030.0,25.0,,1.482652E9
"Slovenia","SVN",4.885,2.36631766294671,,0.150102007407375,,70.1649002592579,,1.37,1.48277266046188E9,4.71816894495386E10,6.76455407834504,21510.0,26230.0,4.34117597220076E10,5.29284390828929E10,31.4477384570412,5.3660180244629,96.0,71.468560205101,,34.3816526418586,4.12450195519203,52.563720131885,77.739756097561,,61.3869073742615,130.903293037134,1.44469505792724,95.5547781551363,3.9,,,0.559207815536831,2018122.0,0.1,,99.2778537496596,9251.17510239713,36.9717956899802,,63.2520296951947,20270.0,60.0,,2.8441E8
"Spain","ESP",12.121,2.90626544571347,,2.61066363892678,,26.1965541678414,,1.38,6.01218111970581E10,1.43688820759882E12,3.82516085280116,29290.0,30750.0,1.31460049665179E12,1.379988852997E12,31.3053889705938,5.18053560248398,97.0,32.7358817657413,,30.2750333494545,3.08018045585874,51.3050741277452,80.8673170731708,,125.277466923341,44.7534227798147,1.16388277160122,107.895744875464,4.3,104.706016841232,,1.71362290408843,4.4878945E7,0.5,,102.75603310775,2477.77660548839,27.8039297117297,,66.8187012048321,505370.0,47.0,,1.073896E10
"Sweden","SWE",7.721,1.5024882242885,,,,52.4082497473613,,1.85,1.22856720524277E10,4.54310084630408E11,2.72890309055633,47870.0,37490.0,4.37933050091359E11,3.42961645922487E11,19.7268864528034,15.6768221849809,96.0,44.7804347762369,,28.7632185172808,3.0821083344551,79.745186209321,80.9156097560976,,134.819141239244,70.6125727367418,1.40569030522137,113.367902290445,3.2,89.3113487979046,,0.741552514625423,9148092.0,0.1,95.0196559994066,99.3770654614431,18692.4224198882,,,69.7342932584307,450290.0,15.0,,7.74684E8
"Switzerland","CHE",5.518,,,,,,,1.45,4.97298282306732E10,4.24366839906895E11,3.3,60820.0,44410.0,4.59194818202297E11,3.35262242007164E11,,21.6043623280046,86.0,,,,1.4312977099237,71.9643389067423,81.7217073170732,,300.333434743513,78.5307139156104,0.808778855340409,108.725831537877,4.9,96.4223373828374,,0.879917232493537,7550077.0,0.6,87.561640904958,97.1766107223484,5350.93880499497,,,,41280.0,20.0,,2.034744E9
"Turkey","TUR",38.784,8.67396649573917,,1.39318597171897,,22.049761512291,2.51476782E11,2.131,2.2195E10,6.5588142618958E11,4.62068805825862,8120.0,12970.0,5.93031632528249E11,9.46749346033105E11,21.6291610442239,0.37743359043527,96.0,27.1471702463521,,28.3086264909252,7.58760067691216,28.9581179790579,71.7704878048781,,43.6926612886225,42.2842381764349,2.11014941276479,84.8940224100312,23.0,94.7061869802297,7.9717E8,1.2624021768062,7.3003736E7,,97.2707195395083,89.5422660613339,3109.42990643657,25.5208791605888,,63.0174070133356,783560.0,6.0,32.135318375252,1.209E9
"Ukraine","UKR",28.335,7.46048325983763,98.7,-0.555214081259166,66.7,44.8440541616775,7.3599823E10,1.2,9.891E9,1.4271900990099E11,7.90000076782249,2570.0,6830.0,1.19485394649074E11,3.17657959712566E11,26.6536336025507,3.62572747704285,98.0,50.3626179531614,,36.7341440704802,22.7526076490092,21.5010530140714,68.2170731707317,,78.3054689613739,77.014337526761,2.87000281658483,118.772676891851,24.2,,4.0529E8,-0.596804887457382,4.650935E7,1.6,101.346137688449,99.6330666194927,1141.70591504719,34.3199890111567,,55.8053726696821,603550.0,27.0,16.9208794979199,4.503E9
